flow_id,key
FL_7_DO,direction
FL_17,up
FL_424,down
FL_419_DO,order_up
FL_420,B
FL_421,R
FL_422,E
FL_423,C
FL_175_DO,b_up_scenario
FL_182,1
FL_183,2
FL_186,3
FL_189,4
FL_192_DO,r_up_scenario
FL_193,1
FL_196,2
FL_199,3
FL_202,4
FL_221_DO,e_up_scenario
FL_222,1
FL_225,2
FL_228,3
FL_231,4
FL_239_DO,c__up_scenario
FL_240,1
FL_243,2
FL_246,3
FL_249,4
FL_426_DO,order_down
FL_427,B
FL_474,R
FL_521,E
FL_568,C
FL_430_DO,b_down_scenario
FL_431,1
FL_434,2
FL_437,3
FL_440,4
FL_477_DO,r_down_scenario
FL_478,1
FL_481,2
FL_484,3
FL_487,4
FL_524_DO,e_down_scenario
FL_525,1
FL_528,2
FL_531,3
FL_534,4
FL_571_DO,c_down_scenario
FL_572,1
FL_575,2
FL_578,3
FL_581,4